Publishing Date,Headlines,Category,Structural Hierarchy Description
11/16/2007,"['Equities under selling pressure, KSE falls 204 points']",Market,Stock Market
11/17/2007,"['KSE loses 28 points as late selling wipes out earlier gains', 'Japanese delegation visits KSE']",Market,Stock Market
11/20/2007,['KSE recovers 158 points on buying in oil scrips'],Market,Stock Market
11/21/2007,['KSE gains 75 points on cautious buying'],Market,Stock Market
11/22/2007,['US consul general visits KSE'],Market,Stock Market
11/23/2007,['KSE manages to gain 34 points as investors sell on strength'],Market,Stock Market
11/24/2007,['KSE gains 189 points on aggressive buying in E&P'],Market,Stock Market
11/25/2007,"['KSE recovers 650 points during the week', 'KSE Weekly Review']",Market,Stock Market
11/27/2007,['KSE inches up 44 points on selective buying'],Market,Stock Market
11/28/2007,"['KSE gains 19 points on cautious buying, low volumes']",Market,Stock Market
11/30/2007,"['KSE gains 79 points, poised to cross 14,000 mark']",Market,Stock Market
12/1/2007,"['KSE up 35 points, shy of 14,000 level']",Market,Stock Market
12/2/2007,['KSE up 2pc as bulls move ahead cautiously'],Market,Stock Market
12/5/2007,"['KSE above 14,000 points on buying in cement, E&P stocks']",Market,Stock Market
12/6/2007,['KSE gains 101 points on fresh buying'],Market,Stock Market
12/7/2007,"['KSE up 187 points on buying in front line stocks', 'KSE elects directors']",Market,Stock Market
12/8/2007,"['KSE up 149 points on foreign, local institutional buying']",Market,Stock Market
12/9/2007,"['Bulls dominate KSE for third consecutive week', 'KSE Week Review']",Market,Stock Market
12/11/2007,"['Selective buying in OMCs helps  KSE cross 14,500-point barrier']",Market,Stock Market
12/12/2007,"['KSE gains 61 points after buying at dips pares losses', 'KSE to bolster ties with Tehran exchange']",Market,Stock Market
12/13/2007,['KSE down 76 points on profit-taking in blue chips'],Market,Stock Market
12/14/2007,['KSE down 22 points as late selling trims early gains'],Market,Stock Market
12/15/2007,"['KSE inches up 22 points on buying in second, third tier stocks']",Market,Stock Market
12/16/2007,"['Range-bound week ends with 83 points gain on KSE', 'KSE Week Review']",Market,Stock Market
12/19/2007,['Bearish tendencies dominate KSE as index slips 36 points'],Market,Stock Market
12/20/2007,['KSE up 151 points as institutions load up trimmed equities'],Market,Stock Market
12/21/2007,['KSE sees dull week ahead of Eid and Christmas'],Market,Stock Market
12/25/2007,"['KSE at record high on buying in banking, energy stocks']",Market,Stock Market
12/27/2007,"['KSE up 23 points to cross 14,800 level in overbought market']",Market,Stock Market
12/30/2007,['Karachi stocks fall below historic highs on profit-taking'],Market,Stock Market
1/1/2008,['KSE sees record fall of 696 points'],Market,Stock Market
1/2/2008,['KSE recorded 40pc growth in 2007'],Market,Stock Market
1/3/2008,"['KSE loses 1,419 points in three days']",Market,Stock Market
1/4/2008,"['KSE sees highest single-day surge, recovers 643 points']",Market,Stock Market
1/5/2008,"['Retail, foreign investors back on market, KSE gains 263 points']",Market,Stock Market
1/9/2008,['Local institutions help KSE gain 156 points'],Market,Stock Market
1/10/2008,['KSE sheds 53 points as investors offload on strength'],Market,Stock Market
1/11/2008,['Lahore bomb blast triggers panic selling on KSE'],Market,Stock Market
1/13/2008,['KSE stays in red zone for second consecutive week'],Market,Stock Market
1/15/2008,"['Selective buying in blue chips restores KSE above 14,000 levels']",Market,Stock Market
1/16/2008,['Bomb blast dampens sentiments on KSE'],Market,Stock Market
1/17/2008,"['Panic selling at KSE as oil eases, global markets tumble']",Market,Stock Market
1/18/2008,['KSE 100-share index sheds another 173 points'],Market,Stock Market
1/20/2008,['Buying on weekend trims KSE losses to 40 points'],Market,Stock Market
1/22/2008,['KSE slips 24 points as new week starts'],Market,Stock Market
1/23/2008,['Short-covering pares losses on KSE'],Market,Stock Market
1/24/2008,['Karachi stocks close with modest gains'],Market,Stock Market
1/25/2008,['KSE falls 68 points amid thin turnover'],Market,Stock Market
1/26/2008,"['Adjusted share prices attract buyers to KSE', 'Demutualisation termed key milestone for KSE']",Market,Stock Market
1/27/2008,['Accumulation on dips trims KSE losses to 18 points'],Market,Stock Market
1/29/2008,['Buying in tier II stocks allows moderate gains on KSE'],Market,Stock Market
1/31/2008,['KSE sees dull session ahead of  monetary policy announcement'],Market,Stock Market
2/1/2008,['Short-covering allows moderate gains on KSE'],Market,Stock Market
2/2/2008,['KSE falls 43 points on low volume'],Market,Stock Market
2/3/2008,['KSE posts recovery of 118 points'],Market,Stock Market
2/7/2008,['KSE sees modest gains on thin volumes'],Market,Stock Market
2/8/2008,"['Late buying in energy, telecom scrips minimises losses on KSE', 'KSE MD elected SAFE vice-chairman']",Market,Stock Market
2/12/2008,['KSE sheds 53 points amid dull trading'],Market,Stock Market
2/13/2008,['Buying in blue chips on discount helps KSE gain 212 points'],Market,Stock Market
2/14/2008,"['KSE 100-share index posts another  modest increase of 19 points', 'KSE 30-index recomposed']",Market,Stock Market
2/16/2008,['KSE gains 70 points in last session before polls'],Market,Stock Market
2/20/2008,['KSE gains 443 points as market welcomes polls'],Market,Stock Market
2/21/2008,['Optimistic investors push KSE to all-time high'],Market,Stock Market
2/22/2008,['KSE issues regulations for SIFC'],Market,Stock Market
2/23/2008,['KSE at third consecutive closing high'],Market,Stock Market
2/24/2008,['KSE at record high on post-poll buying frenzy'],Market,Stock Market
2/26/2008,"['KSE makes brief visit to 15,100-point levels']",Market,Stock Market
2/27/2008,"['KSE crosses 15,000-point mark on selective buying in blue chips']",Market,Stock Market
2/29/2008,"['KSE gains 58 points, hits fresh high of 15,078']",Market,Stock Market
3/1/2008,['KSE falls 144 points on profit-taking'],Market,Stock Market
3/2/2008,['Weekend profit-taking puts KSE in consolidation mode'],Market,Stock Market
3/4/2008,['KSE loses 117 points as selling spree continues'],Market,Stock Market
3/5/2008,['KSE loses 80 points on panic selling'],Market,Stock Market
3/7/2008,"['KSE hits lifetime high on oil-driven rally', 'KSE signs MoU with Dubai Financial Market']",Market,Stock Market
3/8/2008,"['KSE down 58 points as investors offload on strength', 'Borse Dubai eyes 40pc stake in KSE']",Market,Stock Market
3/9/2008,['Local investors push KSE up 151 points'],Market,Stock Market
3/12/2008,['Volatile KSE sees modest gains on institutional support'],Market,Stock Market
3/13/2008,"['KSE surges 228 points to hit record high at 15,171']",Market,Stock Market
3/14/2008,['Karachi stocks dip by 96.50 points'],Market,Stock Market
3/15/2008,['Offloading in banking sector lops gains on KSE'],Market,Stock Market
3/16/2008,"['KSE manages to consolidate above 15,000 points']",Market,Stock Market
3/18/2008,['KSE suffers mild correction in range-bound session'],Market,Stock Market
3/19/2008,['Karachi stocks fall heavily by 317 points'],Market,Stock Market
3/20/2008,['KSE 100-share index regains 238 points'],Market,Stock Market
3/21/2008,['Late buying allows modest recovery on KSE'],Market,Stock Market
3/25/2008,['KSE hits record high as market welcomes new PM'],Market,Stock Market
3/26/2008,['KSE closes off record high with moderate losses'],Market,Stock Market
3/27/2008,"['KSE hits new record, rises 76 points']",Market,Stock Market
3/28/2008,"['Moderate gains on KSE allow fresh high for index', 'KSE seeks extension in CGT exemption']",Market,Stock Market
3/29/2008,['KSE closes off highs with modest losses'],Market,Stock Market
3/30/2008,['KSE registers fresh gains pushing'],Market,Stock Market
4/2/2008,"['Buying on dips helps KSE recover overnight losses', 'KSE seeks further delay in levying CGT despite robust growth']",Market,Stock Market
4/3/2008,"['KSE sets new high of 15,333 points']",Market,Stock Market
4/4/2008,['KSE rises 12 points amid profit-taking'],Market,Stock Market
4/5/2008,"['KSE scales new peak at 15,472 points']",Market,Stock Market
4/6/2008,['KSE at all time high despite selling by foreign funds'],Market,Stock Market
4/8/2008,['KSE 100-index edges down by 2.71 points'],Market,Stock Market
4/9/2008,['Karachi stocks inch up by 4 points'],Market,Stock Market
4/10/2008,['Short-covering trims KSE losses to 70 points'],Market,Stock Market
4/11/2008,['Karachi stocks dip 99 points'],Market,Stock Market
4/12/2008,"['CCP issues notice to KSE', 'Karachi stocks up 126 points on foreign buying']",Market,Stock Market
4/13/2008,['Profit-taking trims KSE gains by 42 points'],Market,Stock Market
4/15/2008,['Short-covering allows modest gains on KSE'],Market,Stock Market
4/16/2008,"['KSE hits all-time high of 15,538 points']",Market,Stock Market
4/17/2008,['KSE rises two points at fresh high on foreign support'],Market,Stock Market
4/19/2008,['KSE closes week with forward march'],Market,Stock Market
4/22/2008,['KSE takes a breather inches down 21 points'],Market,Stock Market
4/23/2008,['KSE down 111 points on profit-taking in overbought market'],Market,Stock Market
4/24/2008,['Buying in E&P stocks pares losses on KSE to 73 points'],Market,Stock Market
4/25/2008,"['KSE downspin continues, index another loses 165 points']",Market,Stock Market
4/26/2008,['KSE 100-share index regains 130 points'],Market,Stock Market
4/27/2008,['Rollover week causes selling pressure on KSE'],Market,Stock Market
4/29/2008,['Buying in oil sector allows modest recovery on KSE'],Market,Stock Market
4/30/2008,['KSE down 162 points on margin hunting'],Market,Stock Market
5/1/2008,['KSE loses 195 points as downspin continues'],Market,Stock Market
5/3/2008,['KSE records another significant decline of 166 points'],Market,Stock Market
5/4/2008,['KSE sinks to 10-week low on post-result season sale'],Market,Stock Market
5/6/2008,['KSE registers another big decline of 284 points'],Market,Stock Market
5/7/2008,"['KSE falls for fifth straight day, index dips 264 points']",Market,Stock Market
5/8/2008,['KSE-100 index gains 46 points amid market recovery'],Market,Stock Market
5/9/2008,"['KSE a symbol of what Pakistan will be: US envoy', 'KSE falls 67 points due to impact of MSCI changes']",Market,Stock Market
5/11/2008,['KSE registers year’s biggest decline in a week'],Market,Stock Market
5/13/2008,['KSE 100-share index gains 56 points'],Market,Stock Market
5/14/2008,"['KSE up 256 points as political scenario clears', 'Another computer glitch hits KSE']",Market,Stock Market
5/15/2008,['KSE rises 51 points on banking stocks’ support'],Market,Stock Market
5/16/2008,['KSE falls 114 points on absence of buyers'],Market,Stock Market
5/17/2008,['KSE tumbles 247 points on ratings downgrade'],Market,Stock Market
5/18/2008,['Little hope for KSE rebound despite positive closing'],Market,Stock Market
5/20/2008,"['KSE loses 14,000-point level on CGT fears']",Market,Stock Market
5/21/2008,['SHC issues notice to KSE'],Market,Stock Market
5/22/2008,['KSE sees moderate recovery of 71 points'],Market,Stock Market
5/23/2008,['KSE falls 347 points on panic selling'],Market,Stock Market
5/24/2008,['KSE crashes'],Market,Stock Market
5/25/2008,"['KSE sees record fall of 1,221 points in a week']",Market,Stock Market
5/27/2008,['Karachi stocks tumble 427 points'],Market,Stock Market
5/28/2008,"['KSE regains 237 points as cap on banks’ exposure to equities deferred', 'US Senator, CG visit KSE']",Market,Stock Market
5/29/2008,['KSE plunges 567 points as rumours trigger panic selling'],Market,Stock Market
5/30/2008,"['KSE opposes capital gains tax', 'KSE recovers with modest 20 points']",Market,Stock Market
5/31/2008,"['KSE gets new chairman', 'KSE ends week at nine-month low']",Market,Stock Market
6/1/2008,['KSE falls on manoeuvring to ward off CGT levy'],Market,Stock Market
6/3/2008,['KSE gains 151 points as buyers bag chips on discount'],Market,Stock Market
6/4/2008,"['KSE recovers 198 points on active accumulation', 'KSE announces top 25 cos’ names']",Market,Stock Market
6/5/2008,"['KSE to pay around Rs5bn in taxes: MD', 'KSE jumps 610 points on CGT exemption extension']",Market,Stock Market
6/6/2008,"['SHC modifies interim order in KSE-CCP row', 'KSE loses 35 points as uncertainty triggers profit-taking']",Market,Stock Market
6/7/2008,['KSE gains 81 points on selective buying'],Market,Stock Market
6/8/2008,"['KSE recovers 1,004 points as govt extends CGT exemption']",Market,Stock Market
6/10/2008,"['KSE loses 226 points on budget, political uncertainty']",Market,Stock Market
6/12/2008,"['KSE gains 138 points on buying in banking, cement stocks']",Market,Stock Market
6/13/2008,['KSE up nine points on cautious buying'],Market,Stock Market
6/14/2008,['KSE falls 84 points on profit-taking'],Market,Stock Market
6/15/2008,['Lacklustre week on KSE ends with 193 points loss'],Market,Stock Market
6/17/2008,['KSE crashes 497 points as investors lose confidence'],Market,Stock Market
6/18/2008,['Selective buying helps KSE gain 54 points'],Market,Stock Market
6/19/2008,['KSE falls 237 points on news of CVT rate hike'],Market,Stock Market
6/20/2008,['KSE down 390 points to hit 14-months low'],Market,Stock Market
6/21/2008,['KSE falls 216 points as foreign funds take exit'],Market,Stock Market
6/22/2008,"['KSE falls 10pc on fear of taxes, rate hike']",Market,Stock Market
6/24/2008,['Karachi stocks fall 493 points on short-selling'],Market,Stock Market
6/25/2008,['KSE leaps 960 points to post highest-ever increase in a day'],Market,Stock Market
6/26/2008,"['PTCL to lay high-speed network at KSE', 'KSE gains another 308 points, outlook uncertain']",Market,Stock Market
6/27/2008,['Technical correction trims gains on KSE to 21 points'],Market,Stock Market
6/28/2008,['KSE falls 99 points amid six-year low turnover'],Market,Stock Market
6/29/2008,['Interim regulatory changes cause temporary recovery on KSE'],Market,Stock Market
7/1/2008,['KSE 64 points down in lowest trade in a decade'],Market,Stock Market
7/2/2008,['Karachi stocks fall by another 67 points'],Market,Stock Market
7/3/2008,['KSE 100-share index drops 95.45 points'],Market,Stock Market
7/4/2008,['KSE 100-share index sheds 91 points'],Market,Stock Market
7/6/2008,['Gloomy events take heavy toll on KSE throughout week'],Market,Stock Market
7/8/2008,['Bearish trend persists on KSE'],Market,Stock Market
7/9/2008,['KSE 100-share index loses 65 points on rupee depreciation'],Market,Stock Market
7/10/2008,['KSE 100-share index down 16 points'],Market,Stock Market
7/11/2008,['Karachi Stock Exchange sheds 23 points'],Market,Stock Market
